label,path,total_energy_pj,used_fallback,gemm_energy_pj,load_bias_energy_pj,load_cm_energy_pj,load_rm_energy_pj,mov_energy_pj,mov_rev_energy_pj,softmax_energy_pj,store_cm_energy_pj,store_rm_energy_pj,gemm_calls,load_bias_calls,load_cm_calls,load_rm_calls,mov_calls,mov_rev_calls,softmax_calls,store_cm_calls,store_rm_calls
0,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/0.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
1,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/1.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
2,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/2.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
3,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/3.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,7153.0960256,21459.2880768,0.0,305245.02896639996,0.0,7153.0960256,2,1,1,1,3,0,1,0,1
4,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/4.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,7153.0960256,21459.2880768,0.0,305245.02896639996,0.0,7153.0960256,2,1,1,1,3,0,1,0,1
5,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/5.py,1214407.0771712004,False,851937.28,0.0,7153.0960256,21459.2880768,14306.1920512,0.0,305245.02896639996,0.0,14306.1920512,2,0,1,3,2,0,1,0,2
6,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/6.py,1214407.0771712004,False,851937.28,0.0,7153.0960256,14306.1920512,21459.2880768,7153.0960256,305245.02896639996,0.0,7153.0960256,2,0,1,2,3,1,1,0,1
7,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/7.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
8,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/8.py,1214407.0771712,False,851937.28,0.0,7153.0960256,21459.2880768,14306.1920512,0.0,305245.02896639996,0.0,14306.1920512,2,0,1,3,2,0,1,0,2
9,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/9.py,1214407.0771712,False,851937.28,0.0,7153.0960256,14306.1920512,21459.2880768,7153.0960256,305245.02896639996,0.0,7153.0960256,2,0,1,2,3,1,1,0,1
10,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/10.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
11,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/11.py,1214407.0771712,False,851937.28,0.0,7153.0960256,14306.1920512,21459.2880768,7153.0960256,305245.02896639996,0.0,7153.0960256,2,0,1,2,3,1,1,0,1
12,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/12.py,1214407.0771712,False,851937.28,0.0,7153.0960256,21459.2880768,14306.1920512,0.0,305245.02896639996,0.0,14306.1920512,2,0,1,3,2,0,1,0,2
13,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/13.py,1214407.0771712,False,851937.28,0.0,0.0,28612.3841024,14306.1920512,0.0,305245.02896639996,7153.0960256,7153.0960256,2,0,0,4,2,0,1,1,1
14,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/gemmini_attention64/14.py,1200100.8851200002,False,851937.28,0.0,7153.0960256,14306.1920512,14306.1920512,0.0,305245.02896639996,0.0,7153.0960256,2,0,1,2,2,0,1,0,1
