mapping_kind,semantic_or_pattern,matched_primitives,realized_ip,abstraction_class,meaning,priority,notes
primitive_fallback,dot,dot,systolic_array_ip,tensor_compute,GEMM or dot-product semantics execute on the tensor engine,,Default fallback for matrix-style compute.
primitive_fallback,ewise_add,ewise_add,vector_add_ip,vector_compute_add,Elementwise add executes on vector add lanes,,Also used for residual-style adds.
primitive_fallback,ewise_sub,ewise_sub,vector_add_ip,vector_compute_add,Elementwise subtract reuses the add/sub lane,,Same datapath family as add.
primitive_fallback,ewise_mul,ewise_mul,vector_mul_ip,vector_compute_mul,Elementwise multiply executes on vector multiply lanes,,Used outside the tensor array.
primitive_fallback,divide,divide,vector_div_ip,vector_compute_div,Elementwise divide executes on a divide lane or divider engine,,Used when divide is not fused into softmax.
primitive_fallback,reduce_add,reduce_add,reduction_tree_ip,reduction,Reduction semantics execute on a reduction tree or reduction engine,,Used when no fused softmax-like block absorbs the reduction.
primitive_fallback,exponential,exponential,exp_ip,special_math,Standalone exponential executes on a special-math engine,,Used for unfused exp.
primitive_fallback,broadcast,broadcast,layout_or_dma_ip,logical_view,Broadcast may be free as a logical layout view or redirected to movement if materialized,,Fallback assumes logical/no-cost view.
primitive_fallback,copy,copy,dma_ip,contiguous_move,Explicit copies or materialized movement execute on DMA,,Used for actual movement behavior.
fused_pattern,softmax_fused,"exponential + reduce_add + broadcast + divide",softmax_ip,special_math,Fused softmax block replaces the four primitive operations,100,Highest-priority softmax realization.
fused_pattern,exp_reduce_fused,"exponential + reduce_add",exp_reduce_ip,special_math,Fused exp-plus-reduce block replaces two primitive operations,50,Used when only partial softmax fusion exists.
