primitive,realization_id,is_default,condition,gemmini_rationale
dot,systolic_gemm,1,standard matmul; operands fit in SPAD,"config_ex + matmul.preload + matmul.compute; result in ACC."
dot,systolic_gemm_transposed,0,one operand requires transpose,"Same execute path but config_ex transpose bits set; on-chip transposer feeds mesh."
dot,loop_ws_tiled,0,tile larger than DIM; compiler emits CISC,"gemmini_loop_ws: FSM handles double-buffered tiling automatically."
add,fused_bias_in_matmul,0,add is fused as D operand in OS matmul,"No separate IP; add absorbed into matmul.preload D preload. Cost folded into dot."
add,acc_accumulate,0,operand in ACC; in-place accumulation,"ACC write with accumulate bit set (bit 30 of acc address). Uses acc adder units."
add,standalone_rocket,1,general elementwise add; no fusion matched,"Rocket core library loop over SPAD/ACC data."
subtract,acc_path,0,operand in ACC; same adder family as add,"Same acc adder units as add; negate + accumulate."
subtract,standalone_rocket,1,general elementwise subtract,"Rocket core library."
multiply,standalone_rocket,1,elementwise multiply (never systolic dot),"No dedicated ewise-mul lane on Gemmini; Rocket library. Do NOT map to systolic."
divide,standalone_rocket,1,general elementwise divide,"No divider in Gemmini datapath; Rocket."
divide,fused_quant_scale,0,divide by constant power-of-2; fits acc scale-down,"Absorb into acc read-down scaling (config_ex scale field). Cost near zero."
maximum,relu_activation,0,pattern is max(x; 0) i.e. ReLU,"config_ex activation bit = 1. Applied on acc read-out. No separate engine."
maximum,maxpool_on_store,0,pooling pattern on mvout path,"config_mvout pool params + mvout comparators. Part of StoreController."
maximum,standalone_rocket,1,general two-tensor max,"Rocket core library."
minimum,standalone_rocket,1,no native min,"Rocket core library."
xor,standalone_rocket,1,no bitwise vector ISA on Gemmini,"Rocket core."
exponential,config_norm_path,0,integer-only variant (I-BERT style); config_norm enabled,"Experimental config_norm. Only for supported integer exp subset."
exponential,standalone_rocket,1,general exp,"Rocket core library (or SFU if you add one to your profile)."
exp,config_norm_path,0,same as exponential alias,"Experimental config_norm."
exp,standalone_rocket,1,general exp (alias),"Rocket core library."
reduce,acc_partial_passes,0,combiner is add-like; reduction over systolic-friendly dim,"Multi-pass through systolic+ACC; partial sums accumulated in AccumulatorMem."
reduce,standalone_rocket,1,general reduction or non-add combiner,"Rocket core library."
reduce_add,acc_partial_passes,1,sum reduction; default on-device path,"Multi-pass ACC partials; may need Rocket for tail/finalization."
reduce_add,standalone_rocket,0,tiny reduction or host-preferred schedule,"Rocket core library."
broadcast,virtual_broadcast,1,single consumer; immediately consumed; no materialization,"Controller AGU / stride-based reuse. Cost = 0 data movement."
broadcast,materialized_broadcast,0,result must physically exist as dense tensor,"DMA engine writes expanded tensor into SPAD/ACC. Cost = tensor bytes."
broadcast,fused_broadcast,0,absorbed inside a fused_pattern (e.g. softmax),"No separate cost; fusion region owns the accounting."
reshape,logical_view,1,no physical relayout needed; compatible row-major strides,"Metadata only. Cost = 0."
reshape,physical_relayout,0,lowering requires actual byte reorder,"DMA + relayout path. Cost = tensor bytes."
bitcast_convert,logical_view,1,reinterpret bits; no movement,"Metadata only. Cost = 0."
bitcast_convert,physical_copy,0,backend cannot keep as view,"DMA copy. Cost = tensor bytes."
convert,mvin_scale,0,quant path; scale during load (mvin scale fields),"Scale applied by mvin hardware during DRAM→SPAD transfer."
convert,acc_scale_read,0,quant path; scale on acc read-down to inputType,"Acc read-down scaling (config_ex scale field). accType→inputType."
convert,standalone_rocket,1,general dtype cast,"Rocket core. True value conversion."
transpose,folded_into_matmul,0,transpose absorbed by following dot; config_ex transpose bits,"On-chip transposer inside ExecuteController. No separate movement cost."
transpose,explicit_relayout,1,standalone transpose; not folded,"DMA-based relayout (or transposer + explicit stage). Cost = tensor bytes."
copy,dma_offchip,0,DRAM ↔ SPAD/ACC,"mvin / mvout via LoadController / StoreController."
copy,onchip_move,1,SPAD ↔ ACC or SPAD ↔ SPAD,"Internal datapath (like mov/mov_rev in ATTN_TILE64). Cost = on-chip bytes."
slice,affine_addressing,1,submatrix via mvin/mvout row/col counts + strides,"Addressing only; no separate slice engine."
slice,dma_extract,0,sliced result must be standalone dense tensor,"DMA copy to new SPAD region. Cost = slice bytes."
concatenate,dma_staging,1,stage operands into adjacent SPAD/ACC regions,"Sequential mvins. Cost = total bytes of all operands."
dynamic_update_slice,standalone_rocket,1,irregular indexed update,"No gather/scatter on baseline Gemmini; Rocket scalar loops."
parameter,host_to_device,1,tensor input from host,"DRAM → mvin into SPAD or ACC."
constant,host_to_device,1,literal from host memory,"DRAM → mvin into SPAD or ACC."
select_lt,standalone_rocket,1,TAIDL composite; expand then host,"Expands to compare+select; Rocket core."
select_lt,fused_relu_like,0,pattern recognized as max(x;0) after expansion,"Folds into config_ex ReLU."
select_eq_var,standalone_rocket,1,TAIDL composite; expand then host,"Expands to compare+and+select; Rocket core."
