taidl_primitive,canonical_xla_hlo_op,status,category,description,suggested_abstraction_group,web_source_url,web_source_note,repo_source
reshape,reshape,standard_xla,shape_transform,"Changes tensor shape without changing element values; explicit target shape reshape.",layout_metadata,https://openxla.org/xla/operation_semantics,"Reshape section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
convert,convert,standard_xla,type_conversion,"Element-wise type conversion to a new element type with the same dimensions.",layout_metadata,https://openxla.org/xla/operation_semantics,"ConvertElementType section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
copy,copy,hlo_only,data_movement,"Explicit HLO copy primitive; semantically duplicates an array and is internally decomposed into CopyStart/CopyDone in HLO.",data_movement,https://openxla.org/xla/operation_semantics,"Copy section; HLO-only note.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
exp,exponential,taidl_alias,unary_math,"TAIDL alias for element-wise natural exponential x -> e^x.",elementwise_special,https://openxla.org/xla/operation_semantics,"Exp section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
concatenate,concatenate,standard_xla,tensor_assembly,"Composes one array from multiple operands by joining them along a chosen dimension.",data_movement,https://openxla.org/xla/operation_semantics,"ConcatInDim (Concatenate) section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
bitcast_convert,bitcast_convert,taidl_alias,type_reinterpretation,"Bit-level reinterpretation of storage into a new element type; shape may change to preserve total bytes.",layout_metadata,https://openxla.org/xla/operation_semantics,"BitcastConvertType section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
transpose,transpose,standard_xla,dimension_permutation,"Permutes tensor dimensions according to a specified permutation.",data_movement,https://openxla.org/xla/operation_semantics,"Transpose section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
slice,slice,standard_xla,subtensor_extract,"Extracts a bounded sub-array from the input tensor using start/limit/stride indices.",data_movement,https://openxla.org/xla/operation_semantics,"Slice section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
dot,dot,standard_xla,linear_algebra,"Dot product / matrix-vector / matrix-matrix multiplication over contracted dimensions.",tensor_compute,https://openxla.org/xla/operation_semantics,"Dot section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
constant,constant,standard_xla,literal,"Produces a tensor from a compile-time constant literal.",input_literal,https://openxla.org/xla/operation_semantics,"Constant section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
broadcast,broadcast,standard_xla,shape_expand,"Adds dimensions or expands sizes by duplicating operand data across the new dimensions.",layout_metadata,https://openxla.org/xla/operation_semantics,"Broadcast / BroadcastInDim sections.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
maximum,max,standard_xla,elementwise_binary,"Element-wise maximum of two tensors with compatible shapes.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Max section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
minimum,min,standard_xla,elementwise_binary,"Element-wise minimum of two tensors with compatible shapes.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Min section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
select_lt,"compare(LT) + select",taidl_composite_helper,predication,"TAIDL helper that expands to a less-than compare followed by select between two choices.",predication_select,https://openxla.org/xla/operation_semantics,"Compare and Select sections; helper behavior inferred from TAIDL template expansion.",/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/oracle/templates/templates.txt
select_eq_var,"compare(EQ) + and + select",taidl_composite_helper,predication,"TAIDL helper that expands to scalar compare-to-zero tests, logical and, then select between two choices.",predication_select,https://openxla.org/xla/operation_semantics,"Compare and Select sections; helper behavior inferred from TAIDL template expansion.",/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/oracle/templates/templates.txt
xor,xor,standard_xla,elementwise_binary,"Element-wise XOR of two tensors.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Xor section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
add,add,standard_xla,elementwise_binary,"Element-wise addition of two tensors.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Add section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
dynamic_update_slice,dynamic_update_slice,standard_xla,in_place_update,"Produces the input tensor with a slice overwritten by an update tensor at dynamic start indices.",data_movement_update,https://openxla.org/xla/operation_semantics,"DynamicUpdateSlice section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
subtract,subtract,standard_xla,elementwise_binary,"Element-wise subtraction of rhs from lhs.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Sub section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
multiply,multiply,standard_xla,elementwise_binary,"Element-wise product of two tensors.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Mul section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
divide,divide,standard_xla,elementwise_binary,"Element-wise division of lhs by rhs.",elementwise_alu,https://openxla.org/xla/operation_semantics,"Div section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
reduce,reduce,standard_xla,reduction,"Applies a user-provided reduction computation over one or more dimensions.",reduction,https://openxla.org/xla/operation_semantics,"Reduce section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
parameter,parameter,hlo_only,input,"Represents an argument input to a computation; present in HLO but not StableHLO.",input_literal,https://openxla.org/xla/operation_semantics,"Parameter section; HLO-only note.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
reduce_add,"reduce with add combiner",taidl_alias,reduction,"TAIDL shorthand for a sum reduction; semantically equivalent to reduce using addition as the combiner.",reduction,https://openxla.org/xla/operation_semantics,"Reduce section; add combiner is TAIDL aliasing/inference.",/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/backend/primitive_model.py
exponential,exponential,standard_xla,unary_math,"Element-wise natural exponential x -> e^x.",elementwise_special,https://openxla.org/xla/operation_semantics,"Exp / exponential section.",/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4
